ad,605,443
ae,779,520
af,826,480
ag,394,542
ai,390,538
al,667,449
am,750,454
an,370,559
ao,660,638
aq,600,991
ar,388,739
as,33,648
at,649,420
au,1046,687
aw,367,558
az,759,454
ba,659,437
bb,402,556
bd,901,519
be,615,404
bf,595,559
bg,685,442
bh,769,510
bi,700,611
bj,608,569
bm,384,486
bn,982,585
bo,388,655
br,427,648
bs,342,514
bt,901,505
bv,611,817
bw,682,676
by,693,387
bz,305,542
ca,246,373
cc,923,641
cd,673,613
cf,670,578
cg,653,601
ch,627,423
ci,582,575
ck,67,672
cl,362,727
cm,641,575
cn,947,472
co,352,585
cr,321,567
cu,341,527
cv,520,546
cx,952,635
cy,711,475
cz,652,408
de,635,401
dj,742,560
dk,632,372
dm,395,548
do,366,536
dz,606,503
ec,339,606
ee,683,358
eg,703,507
eh,557,517
er,733,549
es,588,452
et,735,569
fi,686,335
fj,1198,656
fk,402,803
fm,1102,575
fo,577,335
fr,607,426
ga,639,603
gb,589,377
gd,395,559
ge,745,444
gf,423,587
gg,591,410
gh,597,573
gi,582,471
gl,458,251
gm,549,555
gn,568,567
gp,393,542
gq,634,594
gr,673,458
gs,478,817
gt,299,547
gu,1083,555
gw,549,560
gy,404,584
gz,714,490
hk,980,523
hm,845,810
hn,313,549
hr,651,431
ht,359,536
hu,665,421
id,980,603
ie,573,389
il,716,491
im,585,384
in,863,530
io,840,621
iq,746,482
ir,779,486
is,537,313
it,642,446
je,593,411
jm,342,539
jo,721,493
jp,1061,470
ke,726,600
kg,849,449
kh,950,558
ki,38,611
km,746,640
kn,391,541
kp,1025,453
kr,1026,472
kw,758,498
ky,331,534
kz,823,417
la,942,532
lb,720,480
lc,397,553
li,632,421
lk,869,574
lr,569,579
ls,694,703
lt,680,379
lu,620,408
lv,682,368
ly,657,509
ma,576,488
mc,625,437
md,695,420
me,665,442
mg,756,664
mh,1171,576
mk,672,447
ml,587,540
mm,920,525
mn,946,423
mo,978,524
mp,1085,541
mq,397,551
mr,564,528
ms,393,543
mt,648,471
mu,792,669
mv,844,589
mw,714,645
mx,258,519
my,940,586
mz,718,663
na,662,679
nc,1152,671
ne,627,540
nf,1160,701
ng,629,570
ni,316,557
nl,618,396
no,628,345
np,880,501
nr,1156,602
nu,34,665
nz,1183,750
om,786,527
pa,331,571
pe,350,631
pf,102,660
pg,1080,621
ph,1006,557
pk,831,494
pl,664,397
pm,412,422
pn,175,685
pr,378,538
ps,717,488
pt,573,457
pw,1049,575
py,405,680
qa,771,513
re,785,672
ro,683,427
rs,670,436
ru,951,338
rw,700,606
sa,750,518
sb,1134,632
sc,785,616
sd,701,557
se,662,348
sg,946,595
sh,567,683
si,650,426
sj,679,177
sk,666,414
sl,561,572
sm,642,437
sn,552,551
so,754,583
sr,413,587
st,622,599
sv,304,554
sy,730,476
sz,705,692
tc,361,526
td,662,548
tf,831,789
tg,603,571
th,937,546
tj,838,459
tk,27,630
tl,1019,630
tm,799,459
tn,632,480
to,16,672
tr,717,459
tt,396,564
tv,1192,624
tw,1003,519
tz,716,621
ua,704,415
ug,708,595
us,281,467
uy,414,715
uz,815,448
va,642,446
vc,396,556
ve,378,579
vg,385,538
vi,384,538
vn,961,553
vu,1157,652
wf,9,646
ws,26,646
xk,670,443
ye,762,548
yt,751,643
za,676,707
zm,693,644
zw,697,665
